num_prior_defaults,identity_verification_passed,device_fingerprint_match,application_velocity_24h,income_to_loan_ratio,account_age_days,employment_type,repayment_method,geo_risk_score,previous_loan_count,application_hour,mobile_os,marketing_campaign_id,label
0,1,0,0,0.939,12,salaried,bank_transfer,0.589,0,6,Android,C6,Fraud
0,0,1,2,0.948,5,unemployed,e-wallet,0.551,0,8,Android,C2,Non-fraud
1,0,1,2,0.918,6,unemployed,bank_transfer,0.576,0,4,iOS,C1,Fraud
2,1,0,0,1.322,22,self-employed,bank_transfer,0.117,0,20,iOS,C2,Non-fraud
1,1,1,1,1.322,62,self-employed,bank_transfer,0.477,1,5,Android,C5,Non-fraud
1,0,1,0,2.252,42,salaried,bank_transfer,0.407,5,9,iOS,C6,Fraud
0,0,1,0,1.549,101,self-employed,bank_transfer,0.368,0,12,Android,C5,Non-fraud
4,0,1,10,0.458,16,unemployed,cash_agent,0.828,0,5,iOS,C5,Fraud
1,1,1,0,1.534,11,salaried,bank_transfer,0.381,1,23,iOS,C5,Non-fraud
1,0,0,3,1.183,28,unemployed,bank_transfer,0.146,0,19,iOS,C6,Fraud
4,0,0,20,0.05,6,unemployed,e-wallet,0.796,0,20,Android,C6,Fraud
0,1,1,0,1.718,63,self-employed,bank_transfer,0.451,1,11,Android,C1,Non-fraud
5,1,0,3,0.376,6,unemployed,e-wallet,0.578,0,11,iOS,C1,Fraud
0,0,0,4,0.759,11,unemployed,e-wallet,0.296,0,5,iOS,C1,Non-fraud
1,1,0,1,1.514,18,self-employed,bank_transfer,0.233,0,2,Android,C4,Non-fraud
1,0,1,0,1.16,29,salaried,e-wallet,0.491,0,0,iOS,C4,Fraud
3,1,1,1,0.968,41,self-employed,bank_transfer,0.255,0,9,Android,C3,Fraud
2,0,1,4,1.491,96,salaried,e-wallet,0.536,1,5,Android,C4,Fraud
1,1,1,0,2.226,16,self-employed,bank_transfer,0.401,1,23,iOS,C2,Non-fraud
0,0,1,6,1.611,75,self-employed,e-wallet,0.575,0,14,Android,C5,Fraud
4,0,0,6,1.282,25,self-employed,cash_agent,0.877,0,0,Android,C4,Fraud
0,1,0,0,1.573,96,self-employed,bank_transfer,0.476,1,8,Android,C4,Non-fraud
1,0,0,1,1.154,97,salaried,cash_agent,0.729,1,8,iOS,C3,Non-fraud
4,1,0,7,0.642,10,unemployed,e-wallet,0.308,1,22,Android,C5,Fraud
0,1,1,1,1.704,28,salaried,cash_agent,0.802,0,6,Android,C5,Non-fraud
0,0,1,2,1.291,18,salaried,cash_agent,0.577,0,14,Android,C6,Fraud
1,1,1,1,0.991,27,self-employed,e-wallet,0.403,1,4,Android,C2,Fraud
0,0,1,0,2.093,58,self-employed,e-wallet,0.458,1,23,Android,C2,Non-fraud
2,0,1,7,1.04,39,unemployed,bank_transfer,0.914,0,11,Android,C6,Fraud
1,1,1,3,1.036,18,salaried,bank_transfer,0.406,0,11,Android,C4,Non-fraud
3,0,0,8,0.183,23,unemployed,cash_agent,0.888,0,21,iOS,C5,Fraud
1,0,1,7,1.054,28,salaried,cash_agent,0.331,1,20,iOS,C3,Fraud
1,1,1,2,0.907,40,self-employed,e-wallet,0.576,1,11,iOS,C5,Non-fraud
2,0,1,3,2.139,38,salaried,bank_transfer,0.538,0,21,Android,C5,Fraud
0,1,0,4,1.27,20,self-employed,bank_transfer,0.626,0,23,Android,C6,Fraud
1,0,0,0,1.522,28,unemployed,cash_agent,0.478,0,6,iOS,C2,Non-fraud
0,1,1,0,1.475,42,self-employed,e-wallet,0.646,0,20,Android,C1,Non-fraud
0,1,1,0,1.275,18,unemployed,bank_transfer,0.354,0,17,Android,C3,Non-fraud
1,0,1,0,1.393,33,salaried,bank_transfer,0.678,1,20,iOS,C4,Fraud
8,0,0,1,0.05,20,unemployed,bank_transfer,0.422,1,9,Android,C1,Fraud
1,1,0,6,0.564,14,unemployed,e-wallet,0.55,0,19,Android,C3,Fraud
0,1,1,0,1.951,69,salaried,bank_transfer,0.549,2,12,Android,C1,Non-fraud
0,1,1,0,1.596,20,self-employed,bank_transfer,0.763,0,23,Android,C3,Non-fraud
4,0,0,3,0.552,6,unemployed,e-wallet,0.509,0,9,Android,C2,Fraud
0,1,1,3,0.997,17,unemployed,bank_transfer,0.687,1,23,iOS,C5,Non-fraud
1,0,0,1,1.255,53,self-employed,cash_agent,0.42,0,21,Android,C2,Fraud
3,1,1,1,0.078,8,unemployed,bank_transfer,0.31,0,2,iOS,C2,Non-fraud
2,1,0,3,0.704,28,self-employed,cash_agent,0.801,0,9,Android,C4,Fraud
1,0,1,1,0.916,25,self-employed,bank_transfer,0.75,0,13,Android,C1,Fraud
0,1,1,2,1.979,125,salaried,bank_transfer,0.441,1,5,Android,C6,Non-fraud
1,0,0,4,0.367,13,unemployed,e-wallet,0.753,0,12,iOS,C3,Fraud
1,1,1,1,1.874,29,salaried,cash_agent,0.518,0,12,iOS,C6,Non-fraud
3,0,0,20,0.05,17,self-employed,e-wallet,0.96,1,7,Android,C4,Fraud
1,1,1,2,1.079,13,self-employed,bank_transfer,0.172,0,19,Android,C4,Non-fraud
0,1,1,2,1.077,35,unemployed,bank_transfer,0.274,1,2,iOS,C4,Fraud
2,0,1,3,0.266,9,self-employed,e-wallet,0.552,0,10,Android,C6,Fraud
2,0,1,2,1.4,110,salaried,e-wallet,0.725,1,2,Android,C1,Fraud
0,0,0,4,1.161,9,unemployed,bank_transfer,0.822,0,21,Android,C6,Fraud
1,1,1,1,1.098,74,unemployed,e-wallet,0.338,1,17,iOS,C6,Non-fraud
0,1,1,1,2.081,74,salaried,e-wallet,0.457,2,12,iOS,C6,Fraud
1,1,1,1,0.938,11,unemployed,bank_transfer,0.582,0,16,iOS,C1,Non-fraud
1,0,0,2,0.796,10,unemployed,e-wallet,0.612,0,22,Android,C1,Fraud
1,1,1,3,0.676,46,self-employed,e-wallet,0.377,0,23,iOS,C4,Fraud
2,0,0,1,0.839,18,unemployed,cash_agent,0.687,0,23,Android,C3,Fraud
0,0,0,0,0.898,45,self-employed,e-wallet,0.201,1,23,Android,C4,Non-fraud
1,0,1,0,1.809,76,salaried,e-wallet,0.8,2,16,iOS,C2,Non-fraud
4,1,1,8,0.245,4,unemployed,e-wallet,0.219,0,22,Android,C4,Fraud
2,0,0,3,0.914,29,unemployed,bank_transfer,0.448,1,23,iOS,C3,Fraud
3,0,0,1,0.469,38,self-employed,bank_transfer,0.628,1,19,Android,C1,Fraud
0,1,1,0,0.912,19,unemployed,bank_transfer,0.426,0,22,iOS,C2,Non-fraud
1,0,0,2,0.892,8,unemployed,e-wallet,0.523,0,0,Android,C2,Fraud
2,1,1,2,1.517,23,unemployed,e-wallet,0.711,0,9,Android,C5,Fraud
1,1,1,0,1.753,13,unemployed,bank_transfer,0.682,0,16,iOS,C6,Non-fraud
1,1,0,1,1.681,15,unemployed,bank_transfer,0.261,2,18,Android,C1,Non-fraud
0,1,0,1,1.782,21,salaried,e-wallet,0.572,0,10,iOS,C5,Non-fraud
1,0,1,1,1.22,11,unemployed,e-wallet,0.495,0,10,Android,C6,Fraud
4,1,1,8,0.094,40,self-employed,cash_agent,0.455,0,7,Android,C1,Fraud
2,1,1,3,0.9,11,unemployed,bank_transfer,0.574,0,8,iOS,C5,Fraud
1,0,1,2,0.409,14,self-employed,cash_agent,0.75,0,22,Android,C1,Fraud
2,0,1,0,0.976,12,salaried,e-wallet,0.708,0,10,iOS,C3,Fraud
3,1,1,4,0.924,56,self-employed,cash_agent,0.293,2,1,Android,C1,Fraud
0,1,1,0,0.987,48,unemployed,bank_transfer,0.028,0,23,Android,C2,Non-fraud
2,1,1,0,1.835,23,self-employed,e-wallet,0.782,0,10,Android,C1,Fraud
2,0,0,9,0.751,12,unemployed,e-wallet,0.729,0,0,Android,C3,Fraud
2,1,0,3,0.208,19,unemployed,bank_transfer,0.544,0,8,Android,C6,Fraud
2,1,1,2,2.157,39,self-employed,bank_transfer,0.453,1,4,iOS,C1,Fraud
1,0,0,2,1.494,12,unemployed,bank_transfer,0.376,1,2,Android,C1,Fraud
0,1,1,3,0.194,3,unemployed,e-wallet,0.255,0,1,iOS,C4,Non-fraud
0,0,0,1,2.092,42,salaried,bank_transfer,0.577,0,14,iOS,C1,Non-fraud
0,1,0,3,1.093,78,self-employed,cash_agent,0.683,0,18,Android,C1,Non-fraud
0,1,1,1,1.727,24,self-employed,cash_agent,0.501,0,15,Android,C3,Non-fraud
3,0,1,14,0.788,20,unemployed,e-wallet,0.336,1,17,Android,C6,Fraud
0,1,1,0,1.923,37,salaried,bank_transfer,0.273,1,16,Android,C2,Non-fraud
1,0,0,2,1.084,67,self-employed,e-wallet,0.647,0,0,Android,C2,Fraud
0,0,1,1,1.624,56,salaried,bank_transfer,0.535,1,13,Android,C2,Non-fraud
3,0,0,2,0.968,6,unemployed,bank_transfer,0.675,0,21,Android,C4,Fraud
1,1,1,2,1.901,27,self-employed,bank_transfer,0.398,0,4,Android,C1,Non-fraud
1,1,1,0,1.896,42,salaried,bank_transfer,0.254,4,12,iOS,C3,Non-fraud
0,1,0,5,1.06,5,unemployed,e-wallet,0.432,0,20,Android,C6,Fraud
0,1,0,0,1.627,38,salaried,e-wallet,0.647,0,22,Android,C4,Non-fraud
1,0,1,5,1.47,96,self-employed,e-wallet,0.84,2,7,iOS,C4,Fraud
0,1,1,0,2.222,61,self-employed,bank_transfer,0.143,1,16,iOS,C5,Non-fraud
3,0,0,2,0.922,54,self-employed,bank_transfer,0.482,1,13,iOS,C4,Non-fraud
0,1,1,0,2.318,159,salaried,bank_transfer,0.465,4,10,Android,C5,Non-fraud
5,0,0,4,0.418,19,unemployed,cash_agent,0.652,1,0,Android,C2,Fraud
3,1,1,2,1.01,13,self-employed,cash_agent,0.379,0,6,iOS,C6,Fraud
2,1,1,0,1.311,22,self-employed,bank_transfer,0.795,0,9,iOS,C1,Fraud
1,0,0,0,1.38,25,salaried,cash_agent,0.75,0,0,iOS,C4,Fraud
2,0,0,2,1.378,52,self-employed,e-wallet,0.655,2,9,Android,C1,Fraud
1,0,0,5,0.842,22,self-employed,e-wallet,0.614,0,11,Android,C6,Fraud
0,1,1,1,1.342,43,unemployed,e-wallet,0.254,0,17,Android,C5,Non-fraud
0,1,1,1,2.283,100,self-employed,cash_agent,0.387,1,15,Android,C3,Non-fraud
0,1,1,1,1.648,11,self-employed,bank_transfer,0.859,1,17,Android,C5,Non-fraud
1,0,0,5,0.717,74,self-employed,e-wallet,0.483,0,7,Android,C2,Fraud
1,1,0,0,1.604,39,salaried,bank_transfer,0.39,0,23,iOS,C6,Non-fraud
0,1,0,0,1.927,32,salaried,bank_transfer,0.636,1,11,Android,C3,Non-fraud
0,1,1,0,1.2,79,self-employed,cash_agent,0.244,0,18,iOS,C4,Fraud
0,0,1,0,0.563,13,unemployed,e-wallet,0.434,1,14,iOS,C3,Non-fraud
0,1,0,1,1.264,23,unemployed,bank_transfer,0.454,1,1,Android,C6,Non-fraud
3,0,0,5,0.822,61,unemployed,e-wallet,0.633,0,18,Android,C5,Fraud
1,0,0,2,1.113,42,salaried,e-wallet,0.49,0,1,Android,C4,Non-fraud
2,0,1,0,0.77,71,self-employed,bank_transfer,0.608,1,9,Android,C2,Fraud
0,0,0,2,1.185,90,self-employed,e-wallet,0.901,4,21,Android,C2,Fraud
0,0,1,1,1.532,45,salaried,bank_transfer,0.41,2,13,iOS,C6,Non-fraud
1,0,1,0,1.626,40,self-employed,e-wallet,0.603,1,7,Android,C2,Fraud
1,1,1,2,1.868,25,unemployed,bank_transfer,0.714,0,0,Android,C4,Non-fraud
1,1,1,2,0.892,11,unemployed,bank_transfer,0.306,1,5,Android,C5,Fraud
0,1,1,1,1.177,41,self-employed,cash_agent,0.227,1,11,Android,C5,Fraud
2,0,1,2,0.675,9,self-employed,bank_transfer,0.602,0,4,Android,C3,Non-fraud
0,1,1,0,1.357,9,self-employed,bank_transfer,0.366,0,7,Android,C6,Non-fraud
2,1,0,1,1.355,50,salaried,bank_transfer,0.188,0,6,Android,C6,Non-fraud
3,0,0,11,0.272,43,unemployed,bank_transfer,0.635,0,2,Android,C6,Fraud
0,1,1,1,1.765,52,self-employed,bank_transfer,0.69,2,6,Android,C5,Non-fraud
0,0,1,2,1.399,15,unemployed,e-wallet,0.778,0,9,Android,C5,Fraud
2,1,1,0,1.645,16,self-employed,bank_transfer,0.508,1,4,Android,C1,Fraud
3,0,0,0,1.353,30,self-employed,cash_agent,0.494,0,2,Android,C1,Fraud
0,1,1,2,1.232,14,unemployed,bank_transfer,0.463,0,18,Android,C5,Fraud
0,0,1,1,1.404,51,salaried,e-wallet,0.66,0,2,Android,C1,Non-fraud
2,1,1,3,1.281,28,self-employed,cash_agent,0.387,2,8,Android,C5,Fraud
1,1,1,1,1.331,18,unemployed,bank_transfer,0.406,0,5,Android,C2,Non-fraud
2,0,0,2,0.55,11,unemployed,cash_agent,0.739,0,23,Android,C4,Fraud
0,1,0,2,0.591,18,self-employed,e-wallet,0.449,0,2,Android,C4,Fraud
2,0,0,1,1.744,27,self-employed,bank_transfer,0.16,0,23,iOS,C1,Fraud
0,1,1,0,1.459,100,salaried,bank_transfer,0.337,0,13,iOS,C5,Non-fraud
0,0,0,6,0.117,8,unemployed,e-wallet,0.386,0,5,iOS,C6,Fraud
2,0,0,1,1.781,45,self-employed,e-wallet,0.491,1,7,iOS,C2,Fraud
1,1,0,1,1.521,32,salaried,bank_transfer,0.356,0,15,Android,C5,Non-fraud
3,1,0,1,1.723,64,self-employed,bank_transfer,0.695,1,14,iOS,C2,Non-fraud
1,1,1,0,1.922,37,salaried,bank_transfer,0.357,0,13,Android,C5,Fraud
2,0,0,4,0.915,35,self-employed,e-wallet,0.549,1,15,iOS,C3,Fraud
2,1,0,1,1.433,26,salaried,cash_agent,0.429,0,18,Android,C2,Non-fraud
1,0,1,6,1.114,60,self-employed,bank_transfer,0.674,1,17,Android,C6,Fraud
2,0,0,3,1.08,40,salaried,cash_agent,0.666,0,14,Android,C6,Fraud
0,1,1,4,1.928,90,self-employed,bank_transfer,0.398,0,1,iOS,C5,Non-fraud
1,0,0,0,1.489,40,salaried,bank_transfer,0.093,0,14,iOS,C1,Fraud
3,0,0,6,0.764,47,self-employed,e-wallet,0.753,2,7,Android,C4,Fraud
0,1,1,4,1.476,56,self-employed,bank_transfer,0.747,0,10,Android,C3,Non-fraud
1,0,1,0,1.082,20,self-employed,bank_transfer,0.483,0,0,Android,C1,Fraud
1,1,1,1,1.677,23,salaried,bank_transfer,0.174,0,8,Android,C2,Non-fraud
5,0,0,8,0.08,7,unemployed,e-wallet,0.238,0,14,Android,C6,Fraud
0,0,0,3,0.05,5,unemployed,cash_agent,0.788,0,3,Android,C1,Fraud
1,1,1,6,0.531,9,unemployed,e-wallet,0.535,0,7,iOS,C4,Non-fraud
0,0,1,1,1.417,9,unemployed,bank_transfer,0.363,1,3,Android,C3,Non-fraud
1,1,1,2,1.46,32,salaried,e-wallet,0.62,0,7,iOS,C4,Non-fraud
3,0,1,2,0.735,10,unemployed,bank_transfer,0.455,0,11,iOS,C3,Fraud
2,0,0,1,0.66,25,self-employed,e-wallet,0.451,0,11,Android,C4,Fraud
1,0,1,2,2.044,44,salaried,e-wallet,0.491,2,7,Android,C5,Fraud
3,1,0,3,0.63,17,self-employed,e-wallet,0.304,1,3,iOS,C1,Fraud
4,1,1,2,0.897,20,unemployed,bank_transfer,0.264,0,3,Android,C5,Fraud
2,0,1,3,0.05,58,unemployed,cash_agent,0.385,2,18,Android,C5,Fraud
3,0,0,3,1.066,13,self-employed,cash_agent,0.382,0,3,Android,C2,Fraud
0,0,0,0,1.731,21,self-employed,bank_transfer,0.525,1,16,Android,C1,Non-fraud
2,0,0,13,0.277,79,unemployed,e-wallet,0.806,0,3,iOS,C6,Fraud
0,1,1,2,1.184,13,self-employed,bank_transfer,0.318,1,16,Android,C6,Non-fraud
2,0,0,5,0.054,14,unemployed,cash_agent,0.404,0,4,Android,C1,Fraud
2,1,1,0,1.236,31,unemployed,cash_agent,0.396,0,16,Android,C1,Fraud
1,1,1,8,0.535,10,unemployed,bank_transfer,0.514,0,19,iOS,C6,Non-fraud
2,0,0,9,0.05,4,unemployed,e-wallet,0.731,0,8,Android,C1,Fraud
4,0,0,19,0.196,20,unemployed,bank_transfer,0.918,1,20,Android,C4,Fraud
1,0,1,1,1.656,51,salaried,e-wallet,0.718,2,21,iOS,C4,Non-fraud
0,1,1,2,2.68,67,salaried,e-wallet,0.892,5,11,iOS,C3,Non-fraud
0,1,1,0,1.585,166,salaried,e-wallet,0.412,0,14,iOS,C1,Non-fraud
0,1,0,1,1.324,22,unemployed,bank_transfer,0.342,0,6,Android,C2,Non-fraud
3,0,1,6,0.806,42,self-employed,cash_agent,0.906,0,3,Android,C4,Fraud
5,0,0,11,0.05,6,unemployed,e-wallet,0.761,0,12,Android,C5,Fraud
2,1,1,1,0.984,14,unemployed,e-wallet,0.53,0,7,iOS,C1,Fraud
0,1,1,1,1.13,8,unemployed,bank_transfer,0.417,1,5,Android,C6,Fraud
0,0,0,0,1.434,19,salaried,e-wallet,0.528,1,22,iOS,C2,Non-fraud
1,1,0,2,0.753,15,unemployed,e-wallet,0.672,0,11,Android,C1,Fraud
2,1,1,2,0.573,12,unemployed,bank_transfer,0.468,0,22,Android,C1,Fraud
2,1,0,1,0.533,19,unemployed,e-wallet,0.421,0,16,iOS,C4,Fraud
0,1,1,1,0.99,58,unemployed,bank_transfer,0.662,0,13,iOS,C1,Non-fraud
0,1,0,0,1.327,22,unemployed,bank_transfer,0.467,0,20,iOS,C3,Non-fraud
0,1,1,1,1.525,41,salaried,bank_transfer,0.655,0,12,Android,C1,Non-fraud
1,1,0,3,0.799,12,unemployed,bank_transfer,0.659,0,12,Android,C6,Fraud
2,1,1,0,1.248,42,self-employed,bank_transfer,0.527,1,20,iOS,C2,Non-fraud
3,0,1,3,1.222,106,self-employed,cash_agent,0.499,0,1,iOS,C2,Fraud
0,1,1,2,1.789,38,unemployed,cash_agent,0.704,1,8,Android,C2,Non-fraud
2,1,0,5,0.206,7,unemployed,cash_agent,0.357,0,2,Android,C5,Fraud
1,1,1,1,1.898,25,self-employed,bank_transfer,0.256,0,23,Android,C4,Non-fraud
1,0,1,3,0.874,6,unemployed,cash_agent,0.652,1,5,Android,C6,Fraud
0,1,0,0,1.143,28,self-employed,bank_transfer,0.082,0,3,Android,C2,Non-fraud
1,1,1,4,1.266,5,unemployed,bank_transfer,0.628,0,15,iOS,C5,Fraud
3,1,1,0,1.616,33,self-employed,bank_transfer,0.41,1,9,iOS,C1,Fraud
0,1,1,2,3.278,83,salaried,cash_agent,0.607,1,21,Android,C6,Non-fraud
1,0,1,1,1.551,56,self-employed,e-wallet,0.731,1,8,iOS,C1,Fraud
3,0,0,1,0.795,11,self-employed,e-wallet,0.445,0,16,Android,C2,Fraud
6,0,0,19,0.05,6,unemployed,cash_agent,0.655,0,19,Android,C5,Fraud
0,1,1,1,2.219,75,self-employed,bank_transfer,0.682,0,22,Android,C6,Non-fraud
1,0,1,2,1.409,18,self-employed,e-wallet,0.477,0,12,Android,C4,Fraud
4,0,1,0,0.691,6,self-employed,cash_agent,0.814,0,9,Android,C1,Fraud
1,0,1,1,1.502,44,unemployed,e-wallet,0.746,2,10,iOS,C4,Fraud
0,0,1,2,1.027,17,unemployed,cash_agent,0.452,0,18,iOS,C4,Non-fraud
0,0,0,0,0.753,6,unemployed,e-wallet,0.499,0,5,Android,C1,Non-fraud
3,0,0,4,1.092,30,self-employed,e-wallet,0.736,1,8,iOS,C1,Fraud
1,1,0,7,0.831,13,unemployed,e-wallet,0.433,0,2,Android,C5,Fraud
1,1,1,2,1.502,37,salaried,e-wallet,0.273,4,15,iOS,C1,Non-fraud
0,1,1,1,1.743,62,salaried,bank_transfer,0.339,1,19,Android,C1,Non-fraud
1,0,0,15,1.01,16,salaried,cash_agent,0.721,0,8,Android,C6,Fraud
2,1,0,0,1.803,42,self-employed,bank_transfer,0.495,1,22,iOS,C2,Non-fraud
0,1,1,0,2.524,86,salaried,bank_transfer,0.374,1,4,Android,C1,Non-fraud
0,0,1,3,2.041,70,self-employed,bank_transfer,0.776,1,23,Android,C4,Fraud
0,1,1,0,2.143,79,salaried,bank_transfer,0.543,1,20,iOS,C2,Non-fraud
0,1,1,0,2.995,31,salaried,bank_transfer,0.626,2,4,Android,C1,Non-fraud
0,0,1,2,0.553,12,unemployed,bank_transfer,0.563,0,10,Android,C5,Non-fraud
1,0,0,1,1.625,44,salaried,bank_transfer,0.3,3,3,iOS,C2,Fraud
1,1,1,1,2.027,130,self-employed,cash_agent,0.441,2,23,iOS,C6,Non-fraud
1,1,1,0,1.848,29,self-employed,bank_transfer,0.156,2,2,iOS,C2,Non-fraud
2,0,1,2,1.875,24,salaried,bank_transfer,0.733,0,10,Android,C1,Fraud
2,0,0,4,1.133,69,self-employed,bank_transfer,0.394,0,17,iOS,C2,Fraud
0,0,0,2,1.297,40,self-employed,e-wallet,0.907,1,0,Android,C2,Fraud
5,1,1,2,0.956,7,unemployed,e-wallet,0.313,2,0,Android,C1,Fraud
5,0,1,3,0.685,45,unemployed,bank_transfer,0.281,0,1,iOS,C6,Fraud
2,0,0,4,0.867,11,self-employed,e-wallet,0.698,1,18,Android,C4,Fraud
0,0,1,0,1.691,46,salaried,e-wallet,0.223,1,10,iOS,C3,Non-fraud
1,0,1,2,1.407,15,self-employed,bank_transfer,0.302,0,19,Android,C3,Fraud
1,0,1,2,1.094,23,self-employed,bank_transfer,0.568,0,20,iOS,C6,Fraud
0,0,0,2,1.711,21,self-employed,bank_transfer,0.936,0,10,iOS,C4,Fraud
0,0,0,1,1.222,38,salaried,e-wallet,0.648,0,16,iOS,C5,Non-fraud
1,1,0,2,0.77,7,unemployed,bank_transfer,0.685,0,21,Android,C1,Fraud
1,0,0,5,0.32,72,unemployed,e-wallet,0.31,1,0,Android,C3,Fraud
1,1,1,0,2.474,54,salaried,e-wallet,0.524,0,5,iOS,C5,Non-fraud
3,1,0,5,1.14,11,unemployed,e-wallet,0.282,1,22,Android,C6,Fraud
0,0,1,1,1.057,13,salaried,cash_agent,0.667,0,12,iOS,C2,Non-fraud
0,1,1,0,2.419,57,salaried,bank_transfer,0.333,2,17,Android,C3,Non-fraud
2,0,1,4,0.901,34,self-employed,e-wallet,0.512,0,19,iOS,C4,Fraud
2,0,0,5,0.05,9,unemployed,e-wallet,0.164,0,14,Android,C3,Fraud
1,1,0,0,1.131,17,unemployed,e-wallet,0.698,0,19,iOS,C1,Non-fraud
4,0,0,2,0.626,34,unemployed,e-wallet,0.65,2,3,Android,C3,Non-fraud
2,0,0,3,1.137,34,self-employed,bank_transfer,0.485,1,9,Android,C3,Fraud
0,1,0,0,2.548,31,salaried,bank_transfer,0.379,1,0,iOS,C4,Non-fraud
2,1,0,5,1.341,16,unemployed,cash_agent,0.842,0,16,Android,C4,Fraud
0,1,1,1,1.263,59,self-employed,bank_transfer,0.078,1,13,Android,C5,Non-fraud
0,0,1,3,0.705,36,unemployed,bank_transfer,0.713,1,23,Android,C1,Fraud
0,1,1,0,2.651,51,salaried,bank_transfer,0.558,0,2,Android,C3,Non-fraud
1,1,0,2,1.264,27,self-employed,bank_transfer,0.7,0,7,Android,C2,Non-fraud
2,0,0,2,0.905,39,unemployed,cash_agent,0.455,0,6,Android,C2,Fraud
2,1,1,3,0.778,46,self-employed,bank_transfer,0.752,1,1,Android,C2,Fraud
1,0,1,2,1.399,23,salaried,e-wallet,0.356,1,5,iOS,C3,Fraud
1,0,1,3,1.575,29,self-employed,bank_transfer,0.704,1,7,iOS,C3,Fraud
1,1,0,4,0.869,24,unemployed,bank_transfer,0.423,0,6,Android,C1,Fraud
1,1,1,3,1.577,34,self-employed,bank_transfer,0.792,0,15,Android,C6,Non-fraud
0,1,1,0,1.159,49,self-employed,e-wallet,0.546,0,12,Android,C5,Non-fraud
0,0,1,3,2.243,35,salaried,e-wallet,0.958,0,5,Android,C6,Fraud
2,0,0,7,0.773,14,unemployed,e-wallet,0.375,0,4,iOS,C4,Fraud
2,0,0,9,0.711,8,self-employed,e-wallet,0.629,1,1,Android,C6,Fraud
4,0,0,14,0.516,14,self-employed,e-wallet,0.836,0,8,iOS,C6,Fraud
0,1,0,0,0.708,54,self-employed,e-wallet,0.481,0,7,Android,C6,Fraud
1,0,0,2,0.938,59,unemployed,e-wallet,0.568,0,3,iOS,C3,Fraud
2,1,0,0,0.917,11,unemployed,bank_transfer,0.187,0,3,iOS,C3,Fraud
2,1,1,1,0.923,24,salaried,bank_transfer,0.106,1,7,iOS,C5,Fraud
1,1,0,0,1.135,46,unemployed,bank_transfer,0.333,2,22,Android,C1,Non-fraud
3,1,1,2,1.451,50,self-employed,e-wallet,0.464,1,22,iOS,C1,Fraud
4,0,1,8,0.05,24,self-employed,bank_transfer,0.165,0,19,Android,C5,Fraud
2,0,0,2,1.084,15,salaried,bank_transfer,0.516,2,12,Android,C4,Fraud
1,0,1,0,1.889,41,salaried,bank_transfer,0.448,1,2,iOS,C1,Non-fraud
